char	hex	count	char name	dict #	dict #	dict #	dict #	dict #
				snp   7	stc   44458	vei   161		
ê	\u00ea	7255	LATIN SMALL LETTER E WITH CIRCUMFLEX	ben   48	bhs   16	bop   370	bur   2306	lan   1
				md    7	mw    326	mw72  72	pw    5	pwg   20
				stc   4084				
ë	\u00eb	222	LATIN SMALL LETTER E WITH DIAERESIS	ben   5	bhs   4	bop   58	bur   61	inm   4
				lan   5	mw    35	mw72  17	pw    1	pwg   6
				snp   1	stc   8	wil   17		
ì	\u00ec	2	LATIN SMALL LETTER I WITH GRAVE	lan   2				
í	\u00ed	21035	LATIN SMALL LETTER I WITH ACUTE	ben   16	bop   4	gra   19691	lan   426	md    733
				mw    32	mw72  5	pwg   1	sch   126	vei   1
î	\u00ee	2499	LATIN SMALL LETTER I WITH CIRCUMFLEX	bhs   4	bop   124	bur   750	cae   1	lan   2
				md    29	mw    141	mw72  25	pwg   2	stc   1421
ï	\u00ef	412	LATIN SMALL LETTER I WITH DIAERESIS	acc   2	ben   2	bop   3	bur   122	gra   4
				ieg   3	lan   1	mw    15	mw72  36	pwg   2
				sch   12	snp   1	stc   171	wil   38	
ð	\u00f0	26	LATIN SMALL LETTER ETH	lan   25	mw    1			
ñ	\u00f1	43894	LATIN SMALL LETTER N WITH TILDE	acc   3041	ap90  121	ben   6282	bhs   3988	bor   2
				bur   1516	cae   10	ccs   13	gra   1220	gst   39
				ieg   577	inm   3284	lan   239	mci   2110	md    959
				mw    7347	mw72  5562	pe    2653	pgn   113	pui   1204
				pw    187	pwg   365	sch   1060	snp   31	stc   987
				vei   942	wil   42			
ò	\u00f2	13	LATIN SMALL LETTER O WITH GRAVE	bop   5	bur   1	lan   2	mw72  5	
ó	\u00f3	5509	LATIN SMALL LETTER O WITH ACUTE	ben   40	bop   34	gra   4937	gst   1	lan   198
				md    222	mw    34	mw72  15	sch   27	vei   1
ô	\u00f4	1515	LATIN SMALL LETTER O WITH CIRCUMFLEX	ben   73	bhs   9	bop   225	bur   372	lan   1
				md    1	mw    225	mw72  74	pwg   3	sch   1
				stc   531				
ö	\u00f6	39283	LATIN SMALL LETTER O WITH DIAERESIS	acc   1	ben   432	bhs   11	bop   18	ccs   3225
				gra   3441	gst   13	lan   2	mw    14	mw72  9
				pgn   1	pw    13561	pwg   16972	sch   1408	vei   148
				wil   27				
ù	\u00f9	699	LATIN SMALL LETTER U WITH GRAVE	bhs   1	bop   85	bur   274	gra   2	lan   1
				mw    1	mw72  47	pwg   1	sch   9	stc   278
ú	\u00fa	11088	LATIN SMALL LETTER U WITH ACUTE	ben   7	bop   10	gra   9798	lan   416	md    681
				mw    51	mw72  14	pwg   20	sch   90	vei   1
û	\u00fb	1169	LATIN SMALL LETTER U WITH CIRCUMFLEX	bhs   1	bop   254	bur   338	md    14	mw    32
				mw72  53	stc   477			
ü	\u00fc	94439	LATIN SMALL LETTER U WITH DIAERESIS	acc   809	ap90  1	ben   2	bhs   102	bop   30
				bur   5	ccs   6733	gra   5642	ieg   6	lan   14
				md    2	mw    3	mw72  28	pgn   7	pw    36290
				pwg   40986	sch   3475	vei   295	wil   9	
ý	\u00fd	208	LATIN SMALL LETTER Y WITH ACUTE	gra   194	mw    6	mw72  8		
þ	\u00fe	3	LATIN SMALL LETTER THORN	gra   1	lan   2			
ÿ	\u00ff	1	LATIN SMALL LETTER Y WITH DIAERESIS	ben   1				
Ā	\u0100	205547	LATIN CAPITAL LETTER A WITH MACRON	acc   2627	ap90  197	ben   1480	bhs   261	bop   2
				bor   3	bur   10	cae   9	ccs   8	gst   116
				ieg   156	inm   2882	mci   486	md    1363	mw    12628
				mw72  2353	mwe   63	pe    7694	pgn   183	pui   991
				pw    28627	pwg   136528	sch   1134	shs   1711	snp   1
				stc   734	vei   1361	wil   1927	yat   12	
ā	\u0101	978605	LATIN SMALL LETTER A WITH MACRON	acc   97526	ae    46	ap90  9638	ben   32702	bhs   83284
				bor   495	bur   32231	cae   546	ccs   350	gra   58616
				gst   6190	ieg   15317	inm   84560	lan   4839	mci   57720
				md    25739	mw    77080	mw72  157486	mwe   329	pe    67231
				pgn   3716	pui   41633	pw    10128	pwg   17061	sch   31853
				shs   3534	snp   1292	stc   29151	vei   22216	wil   4146
				yat   1950				
Ă	\u0102	1	LATIN CAPITAL LETTER A WITH BREVE	inm   1				
ă	\u0103	214	LATIN SMALL LETTER A WITH BREVE	ben   18	bhs   51	gst   1	inm   6	lan   6
				md    29	mw    75	mw72  26	vei   2	
ą	\u0105	1	LATIN SMALL LETTER A WITH OGONEK	lan   1				
Ć	\u0106	22	LATIN CAPITAL LETTER C WITH ACUTE	bop   22				
ć	\u0107	44	LATIN SMALL LETTER C WITH ACUTE	bop   44				
č	\u010d	4	LATIN SMALL LETTER C WITH CARON	bop   1	mw    3			
ď	\u010f	1	LATIN SMALL LETTER D WITH CARON	bop   1				
Ē	\u0112	2	LATIN CAPITAL LETTER E WITH MACRON	bop   2				
ē	\u0113	260	LATIN SMALL LETTER E WITH MACRON	ben   4	bop   111	lan   82	mw    36	mw72  26
				vei   1				
ĕ	\u0115	323	LATIN SMALL LETTER E WITH BREVE	ben   3	bhs   1	bop   19	bur   1	ieg   241
				lan   14	mw    30	mw72  14		
ė	\u0117	1	LATIN SMALL LETTER E WITH DOT ABOVE	mw    1				
ě	\u011b	22	LATIN SMALL LETTER E WITH CARON	gra   22				
Ī	\u012a	10823	LATIN CAPITAL LETTER I WITH MACRON	acc   144	ben   115	bhs   27	cae   1	gst   3
				ieg   2	inm   115	mci   8	md    60	mw    49
				mw72  132	mwe   14	pe    1624	pgn   5	pui   62
				pw    1263	pwg   6089	sch   15	shs   385	stc   255
				vei   3	wil   452			
ī	\u012b	213175	LATIN SMALL LETTER I WITH MACRON	acc   22111	ae    8	ap90  2014	ben   6398	bhs   11701
				bop   5	bor   54	bur   7504	cae   142	ccs   82
				gra   10471	gst   1021	ieg   2424	inm   18370	lan   1217
				mci   11416	md    7143	mw    7693	mw72  47375	mwe   74
				pe    19318	pgn   748	pui   7213	pw    2124	pwg   3406
				sch   8149	shs   258	snp   647	stc   7990	vei   5276
				wil   520	yat   303			
ĭ	\u012d	134	LATIN SMALL LETTER I WITH BREVE	ben   8	bhs   3	bop   22	inm   22	lan   6
				md    22	mw    12	mw72  39		
ĺ	\u013a	1	LATIN SMALL LETTER L WITH ACUTE	gst   1				
ľ	\u013e	7	LATIN SMALL LETTER L WITH CARON	bop   7				
ł	\u0142	2	LATIN SMALL LETTER L WITH STROKE	sch   2				
