char	hex	count	char name	dict #	dict #	dict #	dict #	dict #
“	\u201c	139233	LEFT DOUBLE QUOTATION MARK	ae    2	ap90  32	bop   1	bor   262	gra   59
				gst   12	ieg   1	inm   3520	krm   2415	lan   39
				mci   81	mw72  10	mwe   3	pe    2046	pgn   89
				pui   10	pwg   2	shs   730	skd   53134	snp   11
				vcp   76772	wil   2			
”	\u201d	139471	RIGHT DOUBLE QUOTATION MARK	acc   1	ae    1	ap90  28	bop   14	bor   262
				bur   2	gra   982	gst   12	ieg   1	inm   3510
				krm   2417	lan   39	mci   76	mw72  10	mwe   2
				pe    1951	pgn   85	pui   9	pwg   13	shs   726
				skd   52816	snp   11	vcp   76501	wil   2	
„	\u201e	964	DOUBLE LOW-9 QUOTATION MARK	acc   1	ae    1	ben   1	bop   11	gra   932
				mwe   1	pui   1	pwg   11	skd   3	vcp   2
†	\u2020	11219	DAGGER	acc   4	ben   1386	cae   902	inm   8887	mw72  31
				sch   8	skd   1			
‡	\u2021	2875	DOUBLE DAGGER	inm   26	md    2847	pwg   1	skd   1	
•	\u2022	3	BULLET	lan   3				
…	\u2026	18049	HORIZONTAL ELLIPSIS	ae    1	ap90  123	bhs   4093	bop   756	gra   5896
				gst   386	ieg   19	inm   2462	krm   298	lan   336
				mci   2974	sch   46	skd   659		
′	\u2032	2	PRIME	mw72  2				
‿	\u203f	1086	UNDERTIE	gra   1086				
⁁	\u2041	1	CARET INSERTION POINT	ap90  1				
⁓	\u2053	1	SWUNG DASH	gra   1				
€	\u20ac	2	EURO SIGN	sch   2				
√	\u221a	19840	SQUARE ROOT	lan   2426	md    1804	mw    15610		
∪	\u222a	9	UNION	mw72  9				
□	\u25a1	1	WHITE SQUARE	pw    1				
◡	\u25e1	1	LOWER HALF CIRCLE	ap90  1				
☉	\u2609	1	SUN	pwg   1				
☊	\u260a	1	ASCENDING NODE	pwg   1				
☋	\u260b	1	DESCENDING NODE	pwg   1				
☾	\u263e	1	LAST QUARTER MOON	pwg   1				
☿	\u263f	1	MERCURY	pwg   1				
♀	\u2640	1	FEMALE SIGN	pwg   1				
♂	\u2642	1	MALE SIGN	pwg   1				
♃	\u2643	1	JUPITER	pwg   1				
♄	\u2644	1	SATURN	pwg   1				
❈	\u2748	2	HEAVY SPARKLE	bur   1	wil   1			
〈	\u3008	5	LEFT ANGLE BRACKET	ieg   2	inm   3			
卐	\u5350	2	CJK UNIFIED IDEOGRAPH-5350	bur   1	wil   1			
𝛿	\u1d6ff	1	MATHEMATICAL ITALIC SMALL DELTA	bhs   1				
