char	hex	count	char name	dict #	dict #	dict #	dict #	dict #
ΐ	\u0390	21	GREEK SMALL LETTER IOTA WITH DIALYTIKA AND TONOS	lan   1	mw    1	mw72  17	pwg   2	
Α	\u0391	7	GREEK CAPITAL LETTER ALPHA	gst   1	mw    2	mw72  2	pwg   1	vei   1
Β	\u0392	11	GREEK CAPITAL LETTER BETA	lan   2	mw    4	mw72  1	pw    1	pwg   1
				vei   2				
Γ	\u0393	3	GREEK CAPITAL LETTER GAMMA	mw72  1	pwg   2			
Δ	\u0394	14	GREEK CAPITAL LETTER DELTA	lan   8	mw    2	mw72  2	pwg   1	vei   1
Ε	\u0395	5	GREEK CAPITAL LETTER EPSILON	lan   3	mw    1	mw72  1		
Ζ	\u0396	11	GREEK CAPITAL LETTER ZETA	lan   2	mw    3	mw72  2	pw    2	pwg   2
Θ	\u0398	1	GREEK CAPITAL LETTER THETA	mw72  1				
Κ	\u039a	12	GREEK CAPITAL LETTER KAPPA	lan   1	mw    3	mw72  3	pwg   4	vei   1
Λ	\u039b	4	GREEK CAPITAL LETTER LAMDA	lan   1	mw    1	mw72  2		
Μ	\u039c	18	GREEK CAPITAL LETTER MU	lan   5	mw    3	mw72  8	pwg   2	
Ν	\u039d	12	GREEK CAPITAL LETTER NU	lan   3	mw    1	mw72  6	pwg   2	
Ο	\u039f	5	GREEK CAPITAL LETTER OMICRON	lan   1	mw    1	mw72  3		
Π	\u03a0	37	GREEK CAPITAL LETTER PI	lan   5	mw    4	mw72  13	pw    2	pwg   2
				stc   1	vei   10			
Ρ	\u03a1	1	GREEK CAPITAL LETTER RHO	pwg   1				
Σ	\u03a3	23	GREEK CAPITAL LETTER SIGMA	lan   2	mw    3	mw72  7	pwg   2	vei   9
Τ	\u03a4	31	GREEK CAPITAL LETTER TAU	lan   1	mw    5	mw72  20	pw    1	pwg   2
				vei   2				
Φ	\u03a6	11	GREEK CAPITAL LETTER PHI	lan   1	mw    3	mw72  5	pwg   2	
ά	\u03ac	707	GREEK SMALL LETTER ALPHA WITH TONOS	gra   30	lan   86	md    3	mw    97	mw72  424
				pw    11	pwg   45	vei   11		
έ	\u03ad	859	GREEK SMALL LETTER EPSILON WITH TONOS	gra   34	lan   142	mw    172	mw72  453	pw    3
				pwg   39	vei   16			
ή	\u03ae	460	GREEK SMALL LETTER ETA WITH TONOS	gra   16	gst   2	lan   61	md    3	mw    76
				mw72  237	pw    15	pwg   42	vei   8	
ί	\u03af	794	GREEK SMALL LETTER IOTA WITH TONOS	gra   43	lan   132	mw    136	mw72  413	pw    14
				pwg   47	vei   9			
ΰ	\u03b0	8	GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND TONOS	mw72  8				
α	\u03b1	4020	GREEK SMALL LETTER ALPHA	bhs   1	gra   98	gst   7	lan   381	md    2
				mw    368	mw72  1106	pw    1386	pwg   608	stc   1
				vei   56	wil   6			
β	\u03b2	2073	GREEK SMALL LETTER BETA	bhs   1	gra   4	gst   2	lan   60	mw    45
				mw72  140	pw    1322	pwg   474	vei   19	wil   6
γ	\u03b3	1570	GREEK SMALL LETTER GAMMA	bhs   1	gra   37	gst   3	lan   104	mw    140
				mw72  304	pw    626	pwg   320	vei   30	wil   5
δ	\u03b4	1343	GREEK SMALL LETTER DELTA	cae   1	gra   34	gst   6	lan   157	md    3
