¦  (\u00a6) 55390 := BROKEN BAR
μ  (\u03bc)   818 := GREEK SMALL LETTER MU
ν  (\u03bd)  1075 := GREEK SMALL LETTER NU
ξ  (\u03be)   103 := GREEK SMALL LETTER XI
ο  (\u03bf)  1195 := GREEK SMALL LETTER OMICRON
π  (\u03c0)   623 := GREEK SMALL LETTER PI
ρ  (\u03c1)  1080 := GREEK SMALL LETTER RHO
ς  (\u03c2)  1298 := GREEK SMALL LETTER FINAL SIGMA
σ  (\u03c3)   669 := GREEK SMALL LETTER SIGMA
τ  (\u03c4)   835 := GREEK SMALL LETTER TAU
υ  (\u03c5)   321 := GREEK SMALL LETTER UPSILON
φ  (\u03c6)   253 := GREEK SMALL LETTER PHI
χ  (\u03c7)   283 := GREEK SMALL LETTER CHI
ψ  (\u03c8)    24 := GREEK SMALL LETTER PSI
ω  (\u03c9)   691 := GREEK SMALL LETTER OMEGA
ϊ  (\u03ca)     9 := GREEK SMALL LETTER IOTA WITH DIALYTIKA
ϋ  (\u03cb)     4 := GREEK SMALL LETTER UPSILON WITH DIALYTIKA
ό  (\u03cc)   529 := GREEK SMALL LETTER OMICRON WITH TONOS
ύ  (\u03cd)   278 := GREEK SMALL LETTER UPSILON WITH TONOS
ώ  (\u03ce)    78 := GREEK SMALL LETTER OMEGA WITH TONOS
ϕ  (\u03d5)     2 := GREEK PHI SYMBOL
ϝ  (\u03dd)    27 := GREEK SMALL LETTER DIGAMMA
ϳ  (\u03f3)     1 := GREEK LETTER YOT
ϴ  (\u03f4)     1 := GREEK CAPITAL THETA SYMBOL
آ  (\u0622)     1 := ARABIC LETTER ALEF WITH MADDA ABOVE
أ  (\u0623)     1 := ARABIC LETTER ALEF WITH HAMZA ABOVE
إ  (\u0625)     3 := ARABIC LETTER ALEF WITH HAMZA BELOW
ا  (\u0627)    35 := ARABIC LETTER ALEF
ب  (\u0628)    19 := ARABIC LETTER BEH
ة  (\u0629)     3 := ARABIC LETTER TEH MARBUTA
ت  (\u062a)    17 := ARABIC LETTER TEH
ث  (\u062b)     2 := ARABIC LETTER THEH
