¦  (\u00a6)  8961 := BROKEN BAR
ο  (\u03bf)   588 := GREEK SMALL LETTER OMICRON
π  (\u03c0)   289 := GREEK SMALL LETTER PI
ρ  (\u03c1)     5 := GREEK SMALL LETTER RHO
ς  (\u03c2)   591 := GREEK SMALL LETTER FINAL SIGMA
σ  (\u03c3)   323 := GREEK SMALL LETTER SIGMA
τ  (\u03c4)   428 := GREEK SMALL LETTER TAU
υ  (\u03c5)   115 := GREEK SMALL LETTER UPSILON
χ  (\u03c7)   131 := GREEK SMALL LETTER CHI
ψ  (\u03c8)     9 := GREEK SMALL LETTER PSI
ω  (\u03c9)   427 := GREEK SMALL LETTER OMEGA
ϊ  (\u03ca)     1 := GREEK SMALL LETTER IOTA WITH DIALYTIKA
ό  (\u03cc)     2 := GREEK SMALL LETTER OMICRON WITH TONOS
ύ  (\u03cd)     2 := GREEK SMALL LETTER UPSILON WITH TONOS
ϑ  (\u03d1)   150 := GREEK THETA SYMBOL
ϕ  (\u03d5)    99 := GREEK PHI SYMBOL
Ϝ  (\u03dc)    41 := GREEK LETTER DIGAMMA
ϰ  (\u03f0)   371 := GREEK KAPPA SYMBOL
ϱ  (\u03f1)   541 := GREEK RHO SYMBOL
ϳ  (\u03f3)    13 := GREEK LETTER YOT
а  (\u0430)    14 := CYRILLIC SMALL LETTER A
б  (\u0431)     2 := CYRILLIC SMALL LETTER BE
в  (\u0432)     9 := CYRILLIC SMALL LETTER VE
г  (\u0433)     2 := CYRILLIC SMALL LETTER GHE
д  (\u0434)     5 := CYRILLIC SMALL LETTER DE
е  (\u0435)    28 := CYRILLIC SMALL LETTER IE
ж  (\u0436)    15 := CYRILLIC SMALL LETTER ZHE
з  (\u0437)    14 := CYRILLIC SMALL LETTER ZE
и  (\u0438)    10 := CYRILLIC SMALL LETTER I
й  (\u0439)     7 := CYRILLIC SMALL LETTER SHORT I
к  (\u043a)     8 := CYRILLIC SMALL LETTER KA
л  (\u043b)     6 := CYRILLIC SMALL LETTER EL
м  (\u043c)     4 := CYRILLIC SMALL LETTER EM
н  (\u043d)    13 := CYRILLIC SMALL LETTER EN
о  (\u043e)    16 := CYRILLIC SMALL LETTER O
п  (\u043f)     4 := CYRILLIC SMALL LETTER PE
р  (\u0440)    11 := CYRILLIC SMALL LETTER ER
с  (\u0441)     8 := CYRILLIC SMALL LETTER ES
т  (\u0442)    13 := CYRILLIC SMALL LETTER TE
у  (\u0443)     5 := CYRILLIC SMALL LETTER U
х  (\u0445)     1 := CYRILLIC SMALL LETTER HA
ц  (\u0446)     3 := CYRILLIC SMALL LETTER TSE
ч  (\u0447)    11 := CYRILLIC SMALL LETTER CHE
ш  (\u0448)     5 := CYRILLIC SMALL LETTER SHA
ъ  (\u044a)    15 := CYRILLIC SMALL LETTER HARD SIGN
ы  (\u044b)     8 := CYRILLIC SMALL LETTER YERU
ь  (\u044c)     5 := CYRILLIC SMALL LETTER SOFT SIGN
ю  (\u044e)     9 := CYRILLIC SMALL LETTER YU
і  (\u0456)     1 := CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I
ї  (\u0457)     3 := CYRILLIC SMALL LETTER YI
ѣ  (\u0463)     7 := CYRILLIC SMALL LETTER YAT
ѧ  (\u0467)     1 := CYRILLIC SMALL LETTER LITTLE YUS
ا  (\u0627)    11 := ARABIC LETTER ALEF
ب  (\u0628)     8 := ARABIC LETTER BEH
ت  (\u062a)     5 := ARABIC LETTER TEH
خ  (\u062e)     5 := ARABIC LETTER KHAH
د  (\u062f)     5 := ARABIC LETTER DAL
ر  (\u0631)     8 := ARABIC LETTER REH
س  (\u0633)     5 := ARABIC LETTER SEEN
ـ  (\u0640)     1 := ARABIC TATWEEL
ك  (\u0643)     6 := ARABIC LETTER KAF
ل  (\u0644)     1 := ARABIC LETTER LAM
م  (\u0645)     4 := ARABIC LETTER MEEM
ن  (\u0646)     6 := ARABIC LETTER NOON
ه  (\u0647)     3 := ARABIC LETTER HEH
و  (\u0648)     6 := ARABIC LETTER WAW
ى  (\u0649)     2 := ARABIC LETTER ALEF MAKSURA
ي  (\u064a)     3 := ARABIC LETTER YEH
پ  (\u067e)     1 := ARABIC LETTER PEH
ڭ  (\u06ad)     3 := ARABIC LETTER NG
॰  (\u0970)    82 := DEVANAGARI ABBREVIATION SIGN
ᴕ  (\u1d15)    19 := LATIN LETTER SMALL CAPITAL OU
ḍ  (\u1e0d)     1 := LATIN SMALL LETTER D WITH DOT BELOW
ṅ  (\u1e45)    22 := LATIN SMALL LETTER N WITH DOT ABOVE
ṇ  (\u1e47)     5 := LATIN SMALL LETTER N WITH DOT BELOW
ṛ  (\u1e5b)     8 := LATIN SMALL LETTER R WITH DOT BELOW
ṝ  (\u1e5d)     2 := LATIN SMALL LETTER R WITH DOT BELOW AND MACRON
Ṣ  (\u1e62)     2 := LATIN CAPITAL LETTER S WITH DOT BELOW
ṣ  (\u1e63)    14 := LATIN SMALL LETTER S WITH DOT BELOW
ṭ  (\u1e6d)     8 := LATIN SMALL LETTER T WITH DOT BELOW
ế  (\u1ebf)   112 := LATIN SMALL LETTER E WITH CIRCUMFLEX AND ACUTE
ỳ  (\u1ef3)     1 := LATIN SMALL LETTER Y WITH GRAVE
ἀ  (\u1f00)    65 := GREEK SMALL LETTER ALPHA WITH PSILI
ἁ  (\u1f01)     4 := GREEK SMALL LETTER ALPHA WITH DASIA
ἄ  (\u1f04)    54 := GREEK SMALL LETTER ALPHA WITH PSILI AND OXIA
ἅ  (\u1f05)    11 := GREEK SMALL LETTER ALPHA WITH DASIA AND OXIA
Ἀ  (\u1f08)     2 := GREEK CAPITAL LETTER ALPHA WITH PSILI
Ἄ  (\u1f0c)     3 := GREEK CAPITAL LETTER ALPHA WITH PSILI AND OXIA
ἐ  (\u1f10)    40 := GREEK SMALL LETTER EPSILON WITH PSILI
ἑ  (\u1f11)    15 := GREEK SMALL LETTER EPSILON WITH DASIA
ἔ  (\u1f14)    46 := GREEK SMALL LETTER EPSILON WITH PSILI AND OXIA
ἕ  (\u1f15)    20 := GREEK SMALL LETTER EPSILON WITH DASIA AND OXIA
Ἐ  (\u1f18)     1 := GREEK CAPITAL LETTER EPSILON WITH PSILI
Ἑ  (\u1f19)     4 := GREEK CAPITAL LETTER EPSILON WITH DASIA
ἠ  (\u1f20)     3 := GREEK SMALL LETTER ETA WITH PSILI
ἡ  (\u1f21)     5 := GREEK SMALL LETTER ETA WITH DASIA
ἤ  (\u1f24)     1 := GREEK SMALL LETTER ETA WITH PSILI AND OXIA
ἥ  (\u1f25)     6 := GREEK SMALL LETTER ETA WITH DASIA AND OXIA
ἦ  (\u1f26)     1 := GREEK SMALL LETTER ETA WITH PSILI AND PERISPOMENI
ἧ  (\u1f27)     8 := GREEK SMALL LETTER ETA WITH DASIA AND PERISPOMENI
