¦  (\u00a6) 158370 := BROKEN BAR
§  (\u00a7)     1 := SECTION SIGN
«  (\u00ab)    59 := LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
°  (\u00b0) 23713 := DEGREE SIGN
±  (\u00b1)     1 := PLUS-MINUS SIGN
²  (\u00b2)   598 := SUPERSCRIPT TWO
³  (\u00b3)     1 := SUPERSCRIPT THREE
¹  (\u00b9)    46 := SUPERSCRIPT ONE
»  (\u00bb)    59 := RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
Ñ  (\u00d1)  1074 := LATIN CAPITAL LETTER N WITH TILDE
Ö  (\u00d6)     7 := LATIN CAPITAL LETTER O WITH DIAERESIS
×  (\u00d7)    24 := MULTIPLICATION SIGN
Ü  (\u00dc)   513 := LATIN CAPITAL LETTER U WITH DIAERESIS
à  (\u00e0)     1 := LATIN SMALL LETTER A WITH GRAVE
á  (\u00e1)     2 := LATIN SMALL LETTER A WITH ACUTE
ä  (\u00e4) 25429 := LATIN SMALL LETTER A WITH DIAERESIS
ç  (\u00e7)     1 := LATIN SMALL LETTER C WITH CEDILLA
é  (\u00e9)     4 := LATIN SMALL LETTER E WITH ACUTE
ê  (\u00ea)     5 := LATIN SMALL LETTER E WITH CIRCUMFLEX
ë  (\u00eb)     1 := LATIN SMALL LETTER E WITH DIAERESIS
ñ  (\u00f1)   276 := LATIN SMALL LETTER N WITH TILDE
ö  (\u00f6) 14343 := LATIN SMALL LETTER O WITH DIAERESIS
ü  (\u00fc) 38353 := LATIN SMALL LETTER U WITH DIAERESIS
Ā  (\u0100) 36728 := LATIN CAPITAL LETTER A WITH MACRON
ā  (\u0101) 10772 := LATIN SMALL LETTER A WITH MACRON
ĕ  (\u0115)     1 := LATIN SMALL LETTER E WITH BREVE
Ī  (\u012a)  2088 := LATIN CAPITAL LETTER I WITH MACRON
ī  (\u012b)  2764 := LATIN SMALL LETTER I WITH MACRON
Ś  (\u015a) 16063 := LATIN CAPITAL LETTER S WITH ACUTE
ś  (\u015b)  1738 := LATIN SMALL LETTER S WITH ACUTE
Ū  (\u016a)   243 := LATIN CAPITAL LETTER U WITH MACRON
ū  (\u016b)   885 := LATIN SMALL LETTER U WITH MACRON
ʼ  (\u02bc)  7577 := MODIFIER LETTER APOSTROPHE
Β  (\u0392)     1 := GREEK CAPITAL LETTER BETA
Ζ  (\u0396)     3 := GREEK CAPITAL LETTER ZETA
Π  (\u03a0)     2 := GREEK CAPITAL LETTER PI
Τ  (\u03a4)     1 := GREEK CAPITAL LETTER TAU
ά  (\u03ac)    11 := GREEK SMALL LETTER ALPHA WITH TONOS
έ  (\u03ad)     3 := GREEK SMALL LETTER EPSILON WITH TONOS
ή  (\u03ae)    17 := GREEK SMALL LETTER ETA WITH TONOS
ί  (\u03af)    14 := GREEK SMALL LETTER IOTA WITH TONOS
α  (\u03b1)  1412 := GREEK SMALL LETTER ALPHA
β  (\u03b2)  1336 := GREEK SMALL LETTER BETA
γ  (\u03b3)   634 := GREEK SMALL LETTER GAMMA
δ  (\u03b4)   312 := GREEK SMALL LETTER DELTA
ε  (\u03b5)   183 := GREEK SMALL LETTER EPSILON
ζ  (\u03b6)   101 := GREEK SMALL LETTER ZETA
η  (\u03b7)    74 := GREEK SMALL LETTER ETA
ι  (\u03b9)    41 := GREEK SMALL LETTER IOTA
κ  (\u03ba)     1 := GREEK SMALL LETTER KAPPA
λ  (\u03bb)    30 := GREEK SMALL LETTER LAMDA
μ  (\u03bc)    31 := GREEK SMALL LETTER MU
ν  (\u03bd)    56 := GREEK SMALL LETTER NU
ξ  (\u03be)    11 := GREEK SMALL LETTER XI
ο  (\u03bf)    54 := GREEK SMALL LETTER OMICRON
π  (\u03c0)    20 := GREEK SMALL LETTER PI
ρ  (\u03c1)    44 := GREEK SMALL LETTER RHO
ς  (\u03c2)    40 := GREEK SMALL LETTER FINAL SIGMA
σ  (\u03c3)    11 := GREEK SMALL LETTER SIGMA
τ  (\u03c4)    29 := GREEK SMALL LETTER TAU
υ  (\u03c5)    22 := GREEK SMALL LETTER UPSILON
φ  (\u03c6)     9 := GREEK SMALL LETTER PHI
χ  (\u03c7)    12 := GREEK SMALL LETTER CHI
ω  (\u03c9)     6 := GREEK SMALL LETTER OMEGA
ό  (\u03cc)    11 := GREEK SMALL LETTER OMICRON WITH TONOS
ύ  (\u03cd)     7 := GREEK SMALL LETTER UPSILON WITH TONOS
ώ  (\u03ce)     2 := GREEK SMALL LETTER OMEGA WITH TONOS
ϑ  (\u03d1)    42 := GREEK THETA SYMBOL
ϰ  (\u03f0)    40 := GREEK KAPPA SYMBOL
а  (\u0430)     1 := CYRILLIC SMALL LETTER A
б  (\u0431)     1 := CYRILLIC SMALL LETTER BE
г  (\u0433)     1 := CYRILLIC SMALL LETTER GHE
о  (\u043e)     1 := CYRILLIC SMALL LETTER O
р  (\u0440)     1 := CYRILLIC SMALL LETTER ER
т  (\u0442)     1 := CYRILLIC SMALL LETTER TE
ы  (\u044b)     1 := CYRILLIC SMALL LETTER YERU
ь  (\u044c)     1 := CYRILLIC SMALL LETTER SOFT SIGN
إ  (\u0625)     4 := ARABIC LETTER ALEF WITH HAMZA BELOW
ا  (\u0627)    42 := ARABIC LETTER ALEF
ب  (\u0628)    16 := ARABIC LETTER BEH
ة  (\u0629)     2 := ARABIC LETTER TEH MARBUTA
ت  (\u062a)    10 := ARABIC LETTER TEH
ث  (\u062b)     2 := ARABIC LETTER THEH
ج  (\u062c)     3 := ARABIC LETTER JEEM
ح  (\u062d)     9 := ARABIC LETTER HAH
خ  (\u062e)     3 := ARABIC LETTER KHAH
د  (\u062f)    20 := ARABIC LETTER DAL
ر  (\u0631)    16 := ARABIC LETTER REH
ز  (\u0632)     4 := ARABIC LETTER ZAIN
س  (\u0633)     5 := ARABIC LETTER SEEN
ش  (\u0634)    12 := ARABIC LETTER SHEEN
ص  (\u0635)     2 := ARABIC LETTER SAD
ع  (\u0639)     5 := ARABIC LETTER AIN
غ  (\u063a)     2 := ARABIC LETTER GHAIN
ف  (\u0641)     2 := ARABIC LETTER FEH
ق  (\u0642)     4 := ARABIC LETTER QAF
ك  (\u0643)     3 := ARABIC LETTER KAF
ل  (\u0644)    18 := ARABIC LETTER LAM
م  (\u0645)    24 := ARABIC LETTER MEEM
ن  (\u0646)    19 := ARABIC LETTER NOON
ه  (\u0647)    18 := ARABIC LETTER HEH
و  (\u0648)     8 := ARABIC LETTER WAW
ى  (\u0649)     3 := ARABIC LETTER ALEF MAKSURA
ي  (\u064a)    18 := ARABIC LETTER YEH
َ  (\u064e)     1 := ARABIC FATHA
ُ  (\u064f)     1 := ARABIC DAMMA
ِ  (\u0650)     6 := ARABIC KASRA
ّ  (\u0651)     4 := ARABIC SHADDA
ْ  (\u0652)     8 := ARABIC SUKUN
پ  (\u067e)     1 := ARABIC LETTER PEH
ڭ  (\u06ad)     1 := ARABIC LETTER NG
ᠠ  (\u1820)     2 := MONGOLIAN LETTER A
ᠦ  (\u1826)     1 := MONGOLIAN LETTER UE
ᠪ  (\u182a)     1 := MONGOLIAN LETTER BA
ᠭ  (\u182d)     1 := MONGOLIAN LETTER GA
ᠲ  (\u1832)     1 := MONGOLIAN LETTER TA
ᠷ  (\u1837)     1 := MONGOLIAN LETTER RA
Ḍ  (\u1e0c)  1475 := LATIN CAPITAL LETTER D WITH DOT BELOW
ḍ  (\u1e0d)   547 := LATIN SMALL LETTER D WITH DOT BELOW
ḥ  (\u1e25)    30 := LATIN SMALL LETTER H WITH DOT BELOW
Ṃ  (\u1e42)  1044 := LATIN CAPITAL LETTER M WITH DOT BELOW
ṃ  (\u1e43)   568 := LATIN SMALL LETTER M WITH DOT BELOW
Ṅ  (\u1e44)  1122 := LATIN CAPITAL LETTER N WITH DOT ABOVE
ṅ  (\u1e45)   669 := LATIN SMALL LETTER N WITH DOT ABOVE
Ṇ  (\u1e46)  2504 := LATIN CAPITAL LETTER N WITH DOT BELOW
ṇ  (\u1e47)  4196 := LATIN SMALL LETTER N WITH DOT BELOW
Ṛ  (\u1e5a)  4639 := LATIN CAPITAL LETTER R WITH DOT BELOW
ṛ  (\u1e5b)  1301 := LATIN SMALL LETTER R WITH DOT BELOW
Ṣ  (\u1e62)  3089 := LATIN CAPITAL LETTER S WITH DOT BELOW
ṣ  (\u1e63)  4851 := LATIN SMALL LETTER S WITH DOT BELOW
Ṭ  (\u1e6c)  1805 := LATIN CAPITAL LETTER T WITH DOT BELOW
ṭ  (\u1e6d)   875 := LATIN SMALL LETTER T WITH DOT BELOW
ἀ  (\u1f00)    11 := GREEK SMALL LETTER ALPHA WITH PSILI
Ἀ  (\u1f08)     1 := GREEK CAPITAL LETTER ALPHA WITH PSILI
Ἂ  (\u1f0a)     1 := GREEK CAPITAL LETTER ALPHA WITH PSILI AND VARIA
ἐ  (\u1f10)     4 := GREEK SMALL LETTER EPSILON WITH PSILI
Ἑ  (\u1f19)     1 := GREEK CAPITAL LETTER EPSILON WITH DASIA
ἣ  (\u1f23)     1 := GREEK SMALL LETTER ETA WITH DASIA AND VARIA
ἰ  (\u1f30)     2 := GREEK SMALL LETTER IOTA WITH PSILI
ἱ  (\u1f31)     1 := GREEK SMALL LETTER IOTA WITH DASIA
ὁ  (\u1f41)     1 := GREEK SMALL LETTER OMICRON WITH DASIA
ὅ  (\u1f45)     1 := GREEK SMALL LETTER OMICRON WITH DASIA AND OXIA
ὐ  (\u1f50)     3 := GREEK SMALL LETTER UPSILON WITH PSILI
ὑ  (\u1f51)     1 := GREEK SMALL LETTER UPSILON WITH DASIA
ὖ  (\u1f56)     1 := GREEK SMALL LETTER UPSILON WITH PSILI AND PERISPOMENI
ὥ  (\u1f65)     1 := GREEK SMALL LETTER OMEGA WITH DASIA AND OXIA
ά  (\u1f71)     1 := GREEK SMALL LETTER ALPHA WITH OXIA
έ  (\u1f73)     1 := GREEK SMALL LETTER EPSILON WITH OXIA
᾽  (\u1fbd)     4 := GREEK KORONIS
ῆ  (\u1fc6)     1 := GREEK SMALL LETTER ETA WITH PERISPOMENI
ῖ  (\u1fd6)     2 := GREEK SMALL LETTER IOTA WITH PERISPOMENI
ῥ  (\u1fe5)     1 := GREEK SMALL LETTER RHO WITH DASIA
ῦ  (\u1fe6)     2 := GREEK SMALL LETTER UPSILON WITH PERISPOMENI
ῶ  (\u1ff6)     1 := GREEK SMALL LETTER OMEGA WITH PERISPOMENI
–  (\u2013)     2 := EN DASH
—  (\u2014) 144754 := EM DASH
“  (\u201c)    14 := LEFT DOUBLE QUOTATION MARK
”  (\u201d)     1 := RIGHT DOUBLE QUOTATION MARK
„  (\u201e)    15 := DOUBLE LOW-9 QUOTATION MARK
′  (\u2032)     1 := PRIME
⁄  (\u2044)    48 := FRACTION SLASH
⁴  (\u2074)     3 := SUPERSCRIPT FOUR
⁵  (\u2075)     1 := SUPERSCRIPT FIVE
⁾  (\u207e)     2 := SUPERSCRIPT RIGHT PARENTHESIS
₀  (\u2080)    19 := SUBSCRIPT ZERO
₁  (\u2081)     7 := SUBSCRIPT ONE
₂  (\u2082)    22 := SUBSCRIPT TWO
₃  (\u2083)     8 := SUBSCRIPT THREE
₄  (\u2084)     6 := SUBSCRIPT FOUR
₅  (\u2085)     6 := SUBSCRIPT FIVE
₆  (\u2086)     6 := SUBSCRIPT SIX
₈  (\u2088)     3 := SUBSCRIPT EIGHT
√  (\u221a)  4714 := SQUARE ROOT
⏑  (\u23d1)     1 := METRICAL BREVE
□  (\u25a1)     1 := WHITE SQUARE
☓  (\u2613)     2 := SALTIRE
〉  (\u3009) 128705 := RIGHT ANGLE BRACKET
〔  (\u3014)    96 := LEFT TORTOISE SHELL BRACKET
〕  (\u3015)    96 := RIGHT TORTOISE SHELL BRACKET
